Date,first_dose,full_dose
2021-03-06,2387,971
2021-03-07,1514,50
2021-03-08,488,4
2021-03-09,1562,74
2021-03-10,1900,47
2021-03-11,1695,92
2021-03-12,3160,16
2021-03-13,1753,568
2021-03-14,1270,132
2021-03-15,1443,9
2021-03-16,1791,172
2021-03-17,3073,545
2021-03-18,3564,334
2021-03-19,4187,247
2021-03-20,6220,537
2021-03-21,5758,195
2021-03-22,3753,78
2021-03-23,4796,173
2021-03-24,5456,248
2021-03-25,3496,238
2021-03-26,7814,1187
2021-03-27,4594,2311
2021-03-28,4073,692
2021-03-29,4890,606
2021-03-30,4766,274
2021-03-31,5090,279
2021-04-01,9859,94
2021-04-02,8028,731
2021-04-03,7825,526
2021-04-04,4555,725
2021-04-05,6958,135
2021-04-06,5825,10
2021-04-07,6421,159
2021-04-08,10106,108
2021-04-09,10568,775
2021-04-10,11895,336
2021-04-11,12251,492
2021-04-12,8301,336
2021-04-13,7279,336
2021-04-14,8255,166
2021-04-15,7478,211
2021-04-16,7678,292
2021-04-17,10039,161
2021-04-18,10657,163
2021-04-19,6825,20
2021-04-20,5081,54
2021-04-21,7199,87
2021-04-22,6969,106
2021-04-23,9355,122
2021-04-24,9680,163
2021-04-25,7108,83
2021-04-26,3470,33
2021-04-27,4702,59
2021-04-28,6890,66
2021-04-29,5595,305
2021-04-30,5426,157
2021-05-01,7015,156
2021-05-02,8058,158
2021-05-03,6907,41
2021-05-04,9116,471
2021-05-05,9488,149
2021-05-06,9605,222
2021-05-07,9933,223
2021-05-08,12285,340
2021-05-09,13022,234
2021-05-10,8665,112
2021-05-11,2763,203
2021-05-12,6253,177
2021-05-13,7494,639
2021-05-14,7362,306
2021-05-15,17472,444
2021-05-16,18170,335
2021-05-17,11548,197
2021-05-18,4914,187
2021-05-19,5442,1300
2021-05-20,3478,1181
2021-05-21,8274,1830
2021-05-22,12189,2397
2021-05-23,9450,1387
2021-05-24,5431,872
2021-05-25,2208,78
2021-05-26,3587,909
2021-05-27,5885,3348
2021-05-28,9044,5031
2021-05-29,7665,5027
2021-05-30,5945,4851
2021-05-31,2522,5409
2021-06-03,9952,18696
2021-06-04,4937,10390
2021-06-05,6710,9717
2021-06-06,4391,8953
2021-06-07,2194,6161
2021-06-08,1248,5350
2021-06-09,2627,9686
2021-06-10,3266,13235
2021-06-11,3555,11362
2021-06-12,4505,13137
2021-06-13,3018,11547
2021-06-14,1620,8025
2021-06-15,1079,5573
2021-06-16,2092,9651
2021-06-17,2882,12162
2021-06-18,4793,18714
2021-06-19,3256,15925
2021-06-20,2389,13131
2021-06-21,234,695
2021-06-22,844,5454
2021-06-23,1605,16302
2021-06-24,2335,22000
2021-06-26,4235,38870
2021-06-27,1826,19898
2021-06-28,934,11135
2021-06-29,856,7522
2021-06-30,1672,15277
2021-07-02,3749,35989
2021-07-04,1909,19408
2021-07-06,1804,14877
2021-07-07,1596,11703
2021-07-09,3327,21845
2021-07-14,5377,33477
2021-07-15,1276,6243
2021-07-16,1527,9062
2021-07-17,1451,7671
2021-07-18,867,5315
2021-07-19,431,2187
2021-07-20,442,2130
2021-07-23,3928,16245
2021-07-24,1286,5308
2021-07-25,840,3738
2021-07-26,472,1975
2021-07-27,437,1384
2021-07-31,4117,16307
2021-08-02,1098,4252
2021-08-03,192,555
2021-08-04,275,737
2021-08-05,921,2812
2021-08-06,842,2704
2021-08-07,825,2515
2021-08-08,595,1839
2021-08-09,289,854
2021-08-10,213,605
2021-08-24,8473,18084
2021-08-25,635,1147
2021-09-02,6252,9678
2021-09-03,1101,1476
2021-09-04,1238,1407
2021-09-05,1035,1334
2021-09-06,360,588
2021-09-07,129,154
2021-09-08,179,189
2021-09-09,1008,1166
2021-09-10,1218,1532
2021-09-11,1181,1450
2021-09-12,1055,1340
2021-09-13,621,799
2021-09-14,268,369
2021-09-15,897,1071
2021-09-16,1202,1287
2021-09-17,1481,1657
2021-09-18,2198,1809
2021-09-19,2526,1796
2021-09-20,1436,1058
2021-09-21,407,414
2021-09-22,2048,1532
2021-09-23,2693,1988
2021-09-24,2750,2061
2021-09-25,2783,2019
2021-09-26,2078,1675
2021-09-27,1354,1043
2021-09-28,342,285
2021-09-29,1915,1494
2021-09-30,2525,2065
2021-10-01,3013,2323
2021-10-02,1947,1895
2021-10-03,2665,2532
